product,pic,videos,UI,steps,tracks,track_outs,gatelength,ratcheting,cv_ins,hp,shippingstatus,price,notes,_mgurl,_website,_year
Product,,Videos (to get you started),Style,Steps (UI basis/max pattern length),Tracks,Per track outs,Gate handling,Ratcheting/repeat,CV ins,HP,Shipping,Approx. Price (USD),Additional Notes,,,Year
1010Music Toolbox,1010-toolbox.jpg,Maik Schott video review|https://youtu.be/UwezuFlKQEE?t=1479,GUI,64,8,"1 cv, 1 gate",variable gate length per step,,4 assignable,26,(discontinued),600,MIDI interface; rhythm sequencer; function generators (LFOs);cv recorder,https://www.modulargrid.net/e/1010-music-toolbox,https://1010music.com/product/toolbox-sequencer-function-generator-eurorack-module,2017
4ms Catalyst Sequencer,4ms-catalyst-sequencer.jpg,,Cirklon-ish,8/64,8,1 cv or gate,variable gate length per step,ratcheting,phase,20,No,400,real time sequence phase offset/scrub via manual slider or CV; alternate operational mode as eight channel macro controller with reversible front panel ,https://www.modulargrid.net/e/4ms-company-catalyst-sequencer,https://4mscompany.com/catseq,2024
ALM Busy Circuits  ASQ-1,alm-asq1.jpg,official video|https://www.youtube.com/watch?v=uoo8BE-8Ksc,SH101,128,2,"2 cv, 2 gate (plus four trigger)",limited,,,32,Yes,370,integrated quantizer channel; integrated four channel x0x-style trigger sequencer,https://www.modulargrid.net/e/alm-busy-circuits-asq-1,https://busycircuits.com/alm035/,2022
Audio Damage Sequencer 1,seq1.jpeg,DivKid five part video series|https://www.youtube.com/watch?v=nFvlmzIwXB4,x0x,16/64,1,"1 pitch, 3 cv, 1 gate, 1 aux",variable gate length per step; accent,ratcheting,2 assignable,36,(discontinued),699,lots of internal modulation options,https://www.modulargrid.net/e/audio-damage-adm06-sequencer-1,https://www.audiodamage.com/collections/eurorack/products/adm06-sequencer-1,2014
Bastl Instruments Popcorn,popcorn.jpeg,Color My Sound video review| https://www.youtube.com/watch?v=EJrrczwA_CI,classic,8,1,"1 cv, 1 gate",gate on/off per step; global variable gate length,,1 assignable,10,(discontinued),263,requires external clock; dual clock inputs supports bi-directional clocking; cv and expanders available; chain two for 16 steps,https://www.modulargrid.net/e/bastl-instruments-popcorn-,http://www.bastl-instruments.com/modular/popcorn/,2017
Befaco Muxlicer,befaco-muxlicer.jpg,DivKid video| https://www.youtube.com/watch?v=OcInDeRhzKM,classic,8,1,"1 cv, 1 gate (but there’s more to it than that)",gate on/off per step or half-step length on/off per step,ratcheting,"various, patch programmable",16,Yes,225,"combines eight step sequencing with bi-directional sequential switch functions, gate generation, and clock generation",https://www.modulargrid.net/e/befaco-muxlicer,https://www.befaco.org/en/muxlicer/,2017
Behringer System 100 – 182 Sequencer,behringer-182.jpg,official video|https://www.youtube.com/watch?v=QuN5sOrIcpM,classic,8 or 16,1,"1 or 2 cv, 1 gate",manual gate length knob; ch-2 pots control stage length in “parallel” mode,,,16,Yes,99,,https://www.modulargrid.net/e/behringer-system-100-182-analog-sequencer,https://www.behringer.com/behringer/product?modelCode=P0DVE,2019
Behringer System 55 – 960 Sequential Controller,behringer-960.jpg,,classic,8,3,1 cv,"variable stage length per step (via third row of knobs), but no gate/trigger bus",,,56,Yes,140,"separate gate output at each step and clock output, but no real gate sequencing features; third row can control stage length; pairs with 962 Sequential Switch to create 16 or 24 step sequences",https://www.modulargrid.net/e/behringer-960-sequential-controller,https://www.behringer.com/behringer/product?modelCode=P0E2J,2019
Circlefade CFM1,cfm1.jpg,,GUI,16/64,6,configurable,variable gate length per step,,,52,(discontinued),370,touchscreen UI; MIDI sequencer,https://www.modulargrid.net/e/other-unknown-cfm1,https://www.circlefade.com/product-page,2019
